ZONA,"COLONIA, SECTOR O BARRIO",VALOR CATASTRAL UNITARIO ($/MÏ)
50T,PREDIOS AL SUR DE LAS QUINTAS,"$1,041.00"
50AE,PREDIOS SIN LOTIFICAR ALREDEDOR DE LA CORUæA,$736.00
50U,PASEO RIO SONORA,"$1,967.00"
50W,AL PONIENTE FRACC. V. DE CORCELES Y AL SUR DE PROL. COLOSIO,$556.00
50AL,SECTOR OESTE,$57.00
51A,PARQUE INDUSTRIAL DYNATECH,"$2,251.00"
51B,PARQUE INDUSTRIAL LA LABOR,"$1,063.00"
51C,PARQUE INDUSTRIAL CAMINO AL PANTEON,"$1,439.00"
51D,TECNOLOGICO,$741.00
51E,CASA BONITA  RESIDENCIAL,"$1,553.00"
51F,EL ESPLENDOR,"$2,393.00"
51G,PLAZAS COMERCIALES ,"$4,720.00"
51L,PLAZA LEY SAHUARO,"$5,785.00"
51M,MURANO RESIDENCIAL,"$2,371.00"
51N,PARQUE INDUSTRIAL LATITUD,"$1,003.00"
51O,STANZA ,"$2,785.00"
51P,TOPACIO,"$3,346.00"
51Q,CASA BONITA II,"$1,700.00"
51R,BODEGAS FINLOGIC CONDOMINAL,"$1,095.00"
,PREDIOS SIN LOTIFICAR,
51H,PREDIOS AL PONIENTE DEL P. INDUSTRIAL,$638.00
51I,AL PONIENTE DE BLVD. QUIROGA,"$2,098.00"
51J,AL NORTE BLVD GARCIA MORALES,"$1,155.00"
51K,TERRENOS DE LA SCT,"$1,613.00"
52A,INSURGENTES,"$1,068.00"
52B,COLINAS,"$3,047.00"
52C,CUARTEL XV,"$3,079.00"
52G,MONTEROSA RESIDENCIAL,"$5,725.00"
52H,CÊRDENO RESIDENCIAL,"$3,700.00"
52I,CÊRDENO RESIDENCIAL ETAPA II,"$4,264.00"
52I,CARDENO BERMELLON,"$4,264.00"
52J,VISTA AZUL RESIDENCIAL,"$3,472.00"
52K,LA MIRADA,"$5,970.00"
,PREDIOS SIN LOTIFICAR,
52D,POLIGONOS AL NORTE ,$90.00
52E,ALREDEDOR DE BLVD. PROGRESO,$894.00
52F,CERROS AL ORIENTE,$22.00
53A,SAN PEDRO  ZONA CENTRO,$382.00
53B,SAN PEDRO AL NORTE,$234.00
53C,SAN PEDRO AL SUR DE CARRETERA A URES,$262.00
53D,SAN PEDRO AL SUR DE CALLE CUAUHTEMOC,$210.00
53E,EL SAUCITO,$144.00
53F,SAN PEDRO POLIGONOS AL SUR,$118.00
54A,MESA DEL SERI,$262.00
54B,HACIENDA DE LOS VALENCIA,$431.00
55A,EL TRONCONAL,$161.00
55B,SANTA LUCINA,$161.00
55C,CHULA VISTA,$151.00
55D,CAMPESTRE EL ALAMO,$134.00
55D,EL ALAMITO,$134.00
55E,LOTIF. CAMPESTRE PARC 23,$106.00
56A,LAS PLACITAS,$305.00
57A,PLAN DE AYALA,$40.00
59A,TOPAHUE,$146.00
60A,LAS CUATAS,$227.00
61A,LA LABOR,$24.00
62A,4 DE OCTUBRE,$25.00
63A,EL ZACATON,$92.00
63B,CAMPESTRE CASABLANCA,$117.00
64A,SAN JUAN Y EL PINITO,$22.00
64B,ALTARENA,$660.00
65A,HERMANOS SERDAN,$16.00
66A,EJIDO EL TRIUNFO,$222.00
67A,LA YESCA,$65.00
68A,SAN JOSE DE GRACIA,$56.00
69A,VICENTE GUERRERO,$26.00
70A,NUEVO SUAQUI AGRICOLA,$26.00
71A,MANUEL AVILA CAMACHO,$26.00
72A,SUAQUI DE LA CANDELARIA,$34.00
73A,SAN LUIS,$59.00
74A,LA HABANA 1,$56.00
74A,LA HABANA 2,$56.00
74A,LA HABANA 3,$56.00
75A,MOLINO DE CAMOU,$144.00
76A,ESTACION ZAMORA,$213.00
77A,IGNACIO ZARAGOZA,$19.00
78A,EL COLORADO,$190.00
79A,EL CHOYUDO,$33.00
80A,TRES PUEBLOS,$16.00
81A,ALEJANDRO CARRILLO,$57.00
82A,JACINTO LOPEZ,$16.00
83A,LA COLMENA,$117.00
84A,FRANCISCO ARISPURO,$17.00
85A,SAN BARTOLO,$108.00
86A,SAN JUAN,$80.00
87A,LOS POCITOS,$27.00
88A,SALVADOR ALVARADO,$16.00
88B,"EL TOJUNGO FRACC. 3, 6 Y 8",$11.00
88C,LA PEAæA,$145.00
88D,GRANDES FINCAS - STA. GERMANA,$14.00
89A,CAMPESTRE OCOTILLO,$37.00
90A,SAN JUANICO,$16.00
91A,EL GUAYPARIN,$24.00
92A,EL CRUCERO,$61.00
93A,EL CARMEN,$47.00
93B,CAMPO CLUB ALPINOS,$99.00
93C,EL CARMEN PARCELAS,$22.00
94A,REAL DEL CATORCE,$191.00
95A,HACIENDA DE LOS TESOROS,$141.00
95B,PUEBLO DORADO,$566.00
96A,SAN MIGUEL,$76.00
97A,LA HERRADURA,$180.00
